Alumni_ID,Name,Passout_Year,Innovation_Thoughts,Company,Job_Title,Location,GitHub_Profile,LinkedIn_Profile
A001,Karan Patel,2022,AR/VR-based virtual classrooms,Google,Software Engineer,Delhi,https://github.com/karanpatel1,https://linkedin.com/in/karanpatel1
A002,Neha Desai,2019,AI-driven personalized learning platform,IBM,DevOps Engineer,San Francisco,https://github.com/nehadesai2,https://linkedin.com/in/nehadesai2
A003,Ananya Reddy,2011,Green energy solutions for campuses,Google,Software Engineer,Hyderabad,https://github.com/ananyareddy3,https://linkedin.com/in/ananyareddy3
A004,Priya Khan,2012,Blockchain-based certificate verification,IBM,Project Manager,New York,https://github.com/priyakhan4,https://linkedin.com/in/priyakhan4
A005,Varun Nair,2015,IoT smart campus system,TCS,Researcher,London,https://github.com/varunnair5,https://linkedin.com/in/varunnair5
A006,Neha Das,2015,Online alumni mentoring network,Apple,Software Engineer,Bangalore,https://github.com/nehadas6,https://linkedin.com/in/nehadas6
A007,Sneha Verma,2014,Online alumni mentoring network,Meta,Product Manager,Pune,https://github.com/snehaverma7,https://linkedin.com/in/snehaverma7
A008,Neha Rastogi,2016,AI-driven personalized learning platform,Adobe,System Analyst,Pune,https://github.com/neharastogi8,https://linkedin.com/in/neharastogi8
A009,Aarav Joshi,2021,Online alumni mentoring network,Microsoft,Web Developer,Bangalore,https://github.com/aaravjoshi9,https://linkedin.com/in/aaravjoshi9
A010,Rohan Mehta,2012,Green energy solutions for campuses,Google,Consultant,Hyderabad,https://github.com/rohanmehta10,https://linkedin.com/in/rohanmehta10
A011,Rahul Roy,2013,Automated attendance system using face recognition,Infosys,DevOps Engineer,Pune,https://github.com/rahulroy11,https://linkedin.com/in/rahulroy11
A012,Arjun Verma,2011,Mobile app for student mental health support,Amazon,AI Engineer,Pune,https://github.com/arjunverma12,https://linkedin.com/in/arjunverma12
A013,Aditya Reddy,2012,Mobile app for student mental health support,Meta,Data Scientist,New York,https://github.com/adityareddy13,https://linkedin.com/in/adityareddy13
A014,Meera Sharma,2015,Green energy solutions for campuses,Apple,Web Developer,London,https://github.com/meerasharma14,https://linkedin.com/in/meerasharma14
A015,Siddharth Rastogi,2017,Crowdfunding platform for student projects,Apple,Product Manager,Bangalore,https://github.com/siddharthrastogi15,https://linkedin.com/in/siddharthrastogi15
